"p","r_droplet_actual","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
16075,0,1,0.2175,0.2175,0.01,0.03785
16037,0,1,0.21825,0.21825,0.01,0.03785
15999,0,1,0.219,0.219,0.01,0.03785
15961,0,1,0.21975,0.21975,0.01,0.03785
15923,0,1,0.2205,0.2205,0.01,0.03785
15885,0,1,0.22125,0.22125,0.01,0.03785
15847,0,1,0.222,0.222,0.01,0.03785
15809,0,1,0.22275,0.22275,0.01,0.03785
15770,0,1,0.2235,0.2235,0.01,0.03785
15726,0,1,0.22425,0.22425,0.01,0.03785
15683,0,1,0.225,0.225,0.01,0.03785
15640,0,1,0.22575,0.22575,0.01,0.03785
15596,0,1,0.2265,0.2265,0.01,0.03785
15553,0,1,0.22725,0.22725,0.01,0.03785
15510,0,1,0.228,0.228,0.01,0.03785
15466,0,1,0.22875,0.22875,0.01,0.03785
15423,0,1,0.2295,0.2295,0.01,0.03785
15377,0,1,0.23025,0.23025,0.01,0.03785
15327,0,1,0.231,0.231,0.01,0.03785
15276,0,1,0.23175,0.23175,0.01,0.03785
15225,0,1,0.2325,0.2325,0.01,0.03785
15174,0,1,0.23325,0.23325,0.01,0.03785
15124,0,1,0.234,0.234,0.01,0.03785
15073,0,1,0.23475,0.23475,0.01,0.03785
15022,0,1,0.2355,0.2355,0.01,0.03785
14972,0,1,0.23625,0.23625,0.01,0.03785
14916,0,1,0.237,0.237,0.01,0.03785
14856,0,1,0.23775,0.23775,0.01,0.03785
14796,0,1,0.2385,0.2385,0.01,0.03785
14735,0,1,0.23925,0.23925,0.01,0.03785
14675,0,1,0.24,0.24,0.01,0.03785
14614,0,1,0.24075,0.24075,0.01,0.03785
14554,0,1,0.2415,0.2415,0.01,0.03785
14494,0,1,0.24225,0.24225,0.01,0.03785
14433,0,1,0.243,0.243,0.01,0.03785
14369,0,1,0.24375,0.24375,0.01,0.03785
14301,0,1,0.2445,0.2445,0.01,0.03785
14234,0,1,0.24525,0.24525,0.01,0.03785
14167,0,1,0.246,0.246,0.01,0.03785
14099,0,1,0.24675,0.24675,0.01,0.03785
14032,0,1,0.2475,0.2475,0.01,0.03785
13965,0,1,0.24825,0.24825,0.01,0.03785
13897,0,1,0.249,0.249,0.01,0.03785
13830,0,1,0.24975,0.24975,0.01,0.03785
13735,0,1,0.2505,0.2505,0.01,0.03785
13626,0,1,0.25125,0.25125,0.01,0.03785
13516,0,1,0.252,0.252,0.01,0.03785
13407,0,1,0.25275,0.25275,0.01,0.03785
13299,0,1,0.2535,0.2535,0.01,0.03785
13194,0,1,0.25425,0.25425,0.01,0.03785
13089,0,1,0.255,0.255,0.01,0.03785
12984,0,1,0.25575,0.25575,0.01,0.03785
12879,0,1,0.2565,0.2565,0.01,0.03785
12765,0,1,0.25725,0.25725,0.01,0.03785
12648,0,1,0.258,0.258,0.01,0.03785
12530,0,1,0.25875,0.25875,0.01,0.03785
12413,0,1,0.2595,0.2595,0.01,0.03785
12294,9.6457e-11,1,0.26025,0.26025,0.01,0.03785
12170,3.8582e-10,1,0.261,0.261,0.01,0.03785
12046,6.7518e-10,1,0.26175,0.26175,0.01,0.03785
11922,9.6452e-10,1,0.2625,0.2625,0.01,0.03785
11798,1.2539e-09,1,0.26325,0.26325,0.01,0.03785
11678,1.5526e-09,1,0.264,0.264,0.01,0.03785
11558,1.8526e-09,1,0.26475,0.26475,0.01,0.03785
11438,2.1525e-09,1,0.2655,0.2655,0.01,0.03785
11318,2.4524e-09,1,0.26625,0.26625,0.01,0.03785
11207,2.6354e-09,1,0.267,0.267,0.01,0.03785
11106,2.6723e-09,1,0.26775,0.26775,0.01,0.03785
11005,2.7092e-09,1,0.2685,0.2685,0.01,0.03785
10904,2.7461e-09,1,0.26925,0.26925,0.01,0.03785
10803,2.783e-09,1,0.27,0.27,0.01,0.03785
10729,2.8564e-09,1,0.27075,0.27075,0.01,0.03785
10655,2.9299e-09,1,0.2715,0.2715,0.01,0.03785
10581,3.0033e-09,1,0.27225,0.27225,0.01,0.03785
10506,3.0767e-09,1,0.273,0.273,0.01,0.03785
10445,3.1682e-09,1,0.27375,0.27375,0.01,0.03785
10395,3.2742e-09,1,0.2745,0.2745,0.01,0.03785
10345,3.3801e-09,1,0.27525,0.27525,0.01,0.03785
10294,3.486e-09,1,0.276,0.276,0.01,0.03785
10245,3.5944e-09,1,0.27675,0.27675,0.01,0.03785
10210,3.722e-09,1,0.2775,0.2775,0.01,0.03785
10175,3.8497e-09,1,0.27825,0.27825,0.01,0.03785
10140,3.9773e-09,1,0.279,0.279,0.01,0.03785
10105,4.105e-09,1,0.27975,0.27975,0.01,0.03785
10074,4.2464e-09,1,0.2805,0.2805,0.01,0.03785
10046,4.3946e-09,1,0.28125,0.28125,0.01,0.03785
10018,4.5428e-09,1,0.282,0.282,0.01,0.03785
9990,4.6911e-09,1,0.28275,0.28275,0.01,0.03785
9962.4,4.8453e-09,1,0.2835,0.2835,0.01,0.03785
9936.4,5.0206e-09,1,0.28425,0.28425,0.01,0.03785
9910.5,5.196e-09,1,0.285,0.285,0.01,0.03785
9884.5,5.3713e-09,1,0.28575,0.28575,0.01,0.03785
9858.5,5.5466e-09,1,0.2865,0.2865,0.01,0.03785
9832.9,5.7378e-09,1,0.28725,0.28725,0.01,0.03785
9807.4,5.9335e-09,1,0.288,0.288,0.01,0.03785
9781.8,6.1292e-09,1,0.28875,0.28875,0.01,0.03785
9756.3,6.3249e-09,1,0.2895,0.2895,0.01,0.03785
9730.5,6.5162e-09,1,0.29025,0.29025,0.01,0.03785
9704.3,6.6986e-09,1,0.291,0.291,0.01,0.03785
9678.1,6.8809e-09,1,0.29175,0.29175,0.01,0.03785
9651.9,7.0633e-09,1,0.2925,0.2925,0.01,0.03785
9625.7,7.2457e-09,1,0.29325,0.29325,0.01,0.03785
9601.9,7.4564e-09,1,0.294,0.294,0.01,0.03785
9578.4,7.6706e-09,1,0.29475,0.29475,0.01,0.03785
9554.9,7.8848e-09,1,0.2955,0.2955,0.01,0.03785
9531.4,8.0991e-09,1,0.29625,0.29625,0.01,0.03785
9510.1,8.3515e-09,1,0.297,0.297,0.01,0.03785
9491.8,8.6517e-09,1,0.29775,0.29775,0.01,0.03785
9473.5,8.9519e-09,1,0.2985,0.2985,0.01,0.03785
9455.1,9.2521e-09,1,0.29925,0.29925,0.01,0.03785
9436.8,9.5523e-09,1,0.3,0.3,0.01,0.03785
9423.8,9.9074e-09,1,0.30075,0.30075,0.01,0.03785
9410.8,1.0262e-08,1,0.3015,0.3015,0.01,0.03785
9397.9,1.0618e-08,1,0.30225,0.30225,0.01,0.03785
9384.9,1.0973e-08,1,0.303,0.303,0.01,0.03785
9376,1.1351e-08,1,0.30375,0.30375,0.01,0.03785
9370.4,1.1747e-08,1,0.3045,0.3045,0.01,0.03785
9364.8,1.2143e-08,1,0.30525,0.30525,0.01,0.03785
9359.2,1.2539e-08,1,0.306,0.306,0.01,0.03785
9354.5,1.2937e-08,1,0.30675,0.30675,0.01,0.03785
9356.5,1.3345e-08,1,0.3075,0.3075,0.01,0.03785
9358.6,1.3753e-08,1,0.30825,0.30825,0.01,0.03785
9360.6,1.4161e-08,1,0.309,0.309,0.01,0.03785
9362.7,1.4569e-08,1,0.30975,0.30975,0.01,0.03785
9369.6,1.4959e-08,1,0.3105,0.3105,0.01,0.03785
9379,1.534e-08,1,0.31125,0.31125,0.01,0.03785
9388.4,1.5721e-08,1,0.312,0.312,0.01,0.03785
9397.7,1.6103e-08,1,0.31275,0.31275,0.01,0.03785
9408.5,1.6476e-08,1,0.3135,0.3135,0.01,0.03785
9424.2,1.6825e-08,1,0.31425,0.31425,0.01,0.03785
9439.9,1.7173e-08,1,0.315,0.315,0.01,0.03785
9455.6,1.7521e-08,1,0.31575,0.31575,0.01,0.03785
9471.3,1.7869e-08,1,0.3165,0.3165,0.01,0.03785
9492.6,1.8188e-08,1,0.31725,0.31725,0.01,0.03785
9515.5,1.8499e-08,1,0.318,0.318,0.01,0.03785
9538.3,1.8811e-08,1,0.31875,0.31875,0.01,0.03785
9561.2,1.9122e-08,1,0.3195,0.3195,0.01,0.03785
9585.7,1.942e-08,1,0.32025,0.32025,0.01,0.03785
9613.4,1.9692e-08,1,0.321,0.321,0.01,0.03785
9641.2,1.9963e-08,1,0.32175,0.32175,0.01,0.03785
9668.9,2.0235e-08,1,0.3225,0.3225,0.01,0.03785
9696.6,2.0507e-08,1,0.32325,0.32325,0.01,0.03785
9723.4,2.0743e-08,1,0.324,0.324,0.01,0.03785
9750,2.0974e-08,1,0.32475,0.32475,0.01,0.03785
9776.6,2.1206e-08,1,0.3255,0.3255,0.01,0.03785
9803.3,2.1437e-08,1,0.32625,0.32625,0.01,0.03785
9827.6,2.1652e-08,1,0.327,0.327,0.01,0.03785
9849.1,2.1845e-08,1,0.32775,0.32775,0.01,0.03785
9870.6,2.2038e-08,1,0.3285,0.3285,0.01,0.03785
9892.1,2.2231e-08,1,0.32925,0.32925,0.01,0.03785
9913.6,2.2424e-08,1,0.33,0.33,0.01,0.03785
9926.6,2.2583e-08,1,0.33075,0.33075,0.01,0.03785
9939.5,2.2742e-08,1,0.3315,0.3315,0.01,0.03785
9952.5,2.2902e-08,1,0.33225,0.33225,0.01,0.03785
9965.4,2.3061e-08,1,0.333,0.333,0.01,0.03785
9971.9,2.3204e-08,1,0.33375,0.33375,0.01,0.03785
9973.3,2.3335e-08,1,0.3345,0.3345,0.01,0.03785
9974.7,2.3466e-08,1,0.33525,0.33525,0.01,0.03785
9976,2.3597e-08,1,0.336,0.336,0.01,0.03785
9976.1,2.3726e-08,1,0.33675,0.33675,0.01,0.03785
9965.4,2.3835e-08,1,0.3375,0.3375,0.01,0.03785
9954.6,2.3945e-08,1,0.33825,0.33825,0.01,0.03785
9943.9,2.4054e-08,1,0.339,0.339,0.01,0.03785
9933.2,2.4163e-08,1,0.33975,0.33975,0.01,0.03785
9916,2.4261e-08,1,0.3405,0.3405,0.01,0.03785
9895.5,2.4354e-08,1,0.34125,0.34125,0.01,0.03785
9875,2.4447e-08,1,0.342,0.342,0.01,0.03785
9854.5,2.454e-08,1,0.34275,0.34275,0.01,0.03785
9832.8,2.463e-08,1,0.3435,0.3435,0.01,0.03785
9806.7,2.471e-08,1,0.34425,0.34425,0.01,0.03785
9780.6,2.4789e-08,1,0.345,0.345,0.01,0.03785
9754.5,2.4869e-08,1,0.34575,0.34575,0.01,0.03785
9728.3,2.4949e-08,1,0.3465,0.3465,0.01,0.03785
9701.1,2.502e-08,1,0.34725,0.34725,0.01,0.03785
9673.6,2.5088e-08,1,0.348,0.348,0.01,0.03785
9646.1,2.5157e-08,1,0.34875,0.34875,0.01,0.03785
9618.5,2.5225e-08,1,0.3495,0.3495,0.01,0.03785
9591.6,2.529e-08,1,0.35025,0.35025,0.01,0.03785
9565.7,2.5348e-08,1,0.351,0.351,0.01,0.03785
9539.9,2.5406e-08,1,0.35175,0.35175,0.01,0.03785
9514,2.5464e-08,1,0.3525,0.3525,0.01,0.03785
9488.2,2.5522e-08,1,0.35325,0.35325,0.01,0.03785
9464.8,2.5572e-08,1,0.354,0.354,0.01,0.03785
9441.7,2.5621e-08,1,0.35475,0.35475,0.01,0.03785
9418.6,2.567e-08,1,0.3555,0.3555,0.01,0.03785
9395.5,2.5719e-08,1,0.35625,0.35625,0.01,0.03785
9373.6,2.5765e-08,1,0.357,0.357,0.01,0.03785
9353.1,2.5807e-08,1,0.35775,0.35775,0.01,0.03785
9332.6,2.585e-08,1,0.3585,0.3585,0.01,0.03785
9312,2.5892e-08,1,0.35925,0.35925,0.01,0.03785
9291.5,2.5935e-08,1,0.36,0.36,0.01,0.03785
9272.8,2.5974e-08,1,0.36075,0.36075,0.01,0.03785
9254.2,2.6013e-08,1,0.3615,0.3615,0.01,0.03785
9235.5,2.6052e-08,1,0.36225,0.36225,0.01,0.03785
9216.8,2.6091e-08,1,0.363,0.363,0.01,0.03785
9198.7,2.613e-08,1,0.36375,0.36375,0.01,0.03785
9181,2.6168e-08,1,0.3645,0.3645,0.01,0.03785
9163.3,2.6206e-08,1,0.36525,0.36525,0.01,0.03785
9145.6,2.6244e-08,1,0.366,0.366,0.01,0.03785
9127.9,2.6283e-08,1,0.36675,0.36675,0.01,0.03785
9110.5,2.6322e-08,1,0.3675,0.3675,0.01,0.03785
9093.2,2.6361e-08,1,0.36825,0.36825,0.01,0.03785
9075.8,2.64e-08,1,0.369,0.369,0.01,0.03785
9058.4,2.644e-08,1,0.36975,0.36975,0.01,0.03785
9041,2.648e-08,1,0.3705,0.3705,0.01,0.03785
9023.4,2.6521e-08,1,0.37125,0.37125,0.01,0.03785
9005.9,2.6563e-08,1,0.372,0.372,0.01,0.03785
8988.3,2.6604e-08,1,0.37275,0.37275,0.01,0.03785
8970.7,2.6645e-08,1,0.3735,0.3735,0.01,0.03785
8952.8,2.6689e-08,1,0.37425,0.37425,0.01,0.03785
